,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Lebu,ET,60.88,8.96,38.73,59,12,7.38
1,Ponta Delgada,PT,62.6,37.73,-25.67,55,20,16.11
2,East London,ZA,59,-33.02,27.91,77,0,8.05
3,Prado,BR,79.15,-17.34,-39.22,97,0,14.2
4,Ponta do Sol,BR,76.9,-20.63,-46,35,0,4.36
5,Hay River,CA,71.6,60.82,-115.79,30,75,5.82
6,New Norfolk,AU,50,-42.78,147.06,71,75,10.29
7,Albany,US,62.64,42.65,-73.75,77,90,5.82
8,Debica,PL,71.6,50.05,21.41,53,0,13.87
9,Tiksi,RU,32.44,71.64,128.87,83,36,3.36
10,Baykit,RU,34.42,61.68,96.39,100,88,6.6
11,Santa Maria,BR,59.26,-29.69,-53.81,76,0,7.61
12,Ushuaia,AR,41,-54.81,-68.31,60,0,6.93
13,Derzhavinsk,KZ,52.15,51.1,66.31,59,0,10.4
14,Lahij,YE,75.37,13.06,44.88,66,0,2.35
15,Robertsport,LR,82.75,6.75,-11.37,100,20,11.41
16,Rikitea,PF,76.27,-23.12,-134.97,100,48,11.18
17,Ancud,CL,52.6,-41.87,-73.83,81,44,2.57
18,Tasiilaq,GL,33.8,65.61,-37.64,88,90,43.62
19,Morondava,MG,77.35,-20.3,44.28,77,0,6.38
20,Poum,MK,69.8,41.28,20.71,56,20,4.7
21,Busselton,AU,60.88,-33.64,115.35,100,0,10.4
22,Hovd,NO,49.93,63.83,10.7,71,75,6.93
23,Ambilobe,MG,71.32,-13.19,49.05,93,100,6.93
24,Hilo,US,71.6,19.71,-155.08,88,90,4.7
25,Aljezur,PT,62.77,37.31,-8.8,93,36,8.5
26,Puerto Ayora,EC,80.6,-0.74,-90.35,74,20,18.34
27,Groningen,NL,66.76,53.22,6.57,52,80,12.75
28,Jamestown,AU,39.37,-33.21,138.6,79,56,4.36
29,Vaini,IN,76.9,15.34,74.49,87,32,3.02
30,Bluff,AU,47.11,-23.58,149.07,75,8,7.94
31,Jamame,SO,77.08,0.07,42.75,93,92,8.39
32,Saint-Philippe,CA,69.26,45.36,-73.48,43,90,18.34
33,Bathsheba,BB,84.2,13.22,-59.52,70,40,21.92
34,Hobart,AU,50,-42.88,147.33,71,75,10.29
35,Saskylakh,RU,29.47,71.97,114.09,90,68,3.36
36,Chuy,UY,59.98,-33.69,-53.46,81,36,15.21
37,Shenjiamen,CN,68.35,29.96,122.3,98,56,25.17
38,Barrow,AR,57.82,-38.31,-60.23,67,0,12.08
39,Visani,RO,66.73,45.15,27.28,60,0,4.03
40,Severo-Kurilsk,RU,35.23,50.68,156.12,99,32,10.96
41,Bukama,CD,73.57,-9.2,25.85,64,0,2.46
42,Butaritari,KI,80.95,3.07,172.79,100,24,4.92
43,Hithadhoo,MV,84.1,-0.6,73.08,100,92,6.38
44,Hauge,NO,70.65,59.25,10.99,33,0,8.05
45,Georgetown,GY,84.2,6.8,-58.16,74,75,16.11
46,Mohelnice,CZ,61.33,49.78,16.92,86,68,5.14
47,La Paz,MX,73.4,24.15,-110.32,35,5,8.05
48,Javanrud,IR,59,34.8,46.49,72,75,6.93
49,Udimskiy,RU,69.52,61.14,45.92,38,0,11.74
50,Elwood,US,77.77,40.59,-99.86,54,1,3.36
51,Lively,US,85.9,33.6,-99.18,64,0,7.38
52,Port Alfred,ZA,65.83,-33.59,26.89,85,0,10.4
53,Iqaluit,CA,24.8,63.75,-68.52,73,90,21.92
54,Arraial do Cabo,BR,77.88,-22.97,-42.02,50,0,11.41
55,Sioux Lookout,CA,75.2,50.1,-91.92,27,75,6.93
56,Nikolayevka,RU,72.94,46.73,38.57,72,24,5.37
57,Mataura,NZ,39.28,-46.19,168.86,96,88,12.41
58,Gizo,IL,87.89,31.8,34.94,24,0,2.24
59,Cidreira,BR,60.7,-30.17,-50.22,84,68,13.65
60,Cockburn Town,TC,78.97,21.46,-71.14,97,44,17
61,Souillac,FR,72.23,45.6,-0.6,41,0,12.75
62,Srednekolymsk,RU,33.07,67.46,153.71,84,88,3.47
63,Valkeala,FI,69.8,60.94,26.8,37,0,3.36
64,Saint George,GR,73.4,39.45,22.34,60,20,11.41
65,Castro,CL,52.06,-42.48,-73.76,85,36,2.46
66,Huilong,CN,57.64,28.89,110.18,95,92,3.69
67,Laguna,MX,86,27.52,-110.01,28,5,9.17
